Date,Time,Bander,Location,Species,Sex,Age,Band Status,Tarsus Measurement,Band Size,Band Number,Leg Condition,Replaced Band Number,Gorget Color,Gorget Count,Head Count,Grooves,Buffy,Bill Trait,Green on back,Primary Width P 10 Shape,Wing Tail Trait,Tail Center,Tail Middle,Tail Outer,Tail Measurement,Wing Chord,Culmen,Tail,Pollen Color  Location,Fat,CP Breed,Head Gorget,Body,Primaries,Secondaries,Tail,Weight,Photo Taken,Sample Type,Day Recaptures,Recapture Time 1,Recapture Time 2,Recapture Time 3,Recapture Time 4,Comment
4/23/2022,7:27,ML,SWRS,BCHU,M,1,1,D,D,U09083,,,V,99,,,,,,,,,,,,42.5,20.3,,YU,0,,F,F,F,F,F,3.03,,,,,,,,
4/23/2022,7:31,ML,SWRS,BBLH,M,1,1,D,E,U06240,,,B,99,,,,,,,,,,,,49,20.1,,PH,0,,F,F,F,F,F,3.03,,,,,,,,
4/23/2022,7:35,ML,SWRS,BCHU,M,1,1,D,D,U09084,,,V,99,,,,,,,,,,,,41.5,17.8,,WN,0,,F,F,F,F,F,2.91,,,,,,,,
4/23/2022,7:38,ML,SWRS,BCHU,M,1,1,D,D,U09085,,,V,99,,,,,,,,,,,,42,19,,N,0,,F,F,F,F,F,2.76,,,,,,,,SCABBY SKIN ON LEG BUT OK
4/23/2022,7:41,ML,SWRS,BCHU,F,1,1,F,G,U07795,,,HS,,,,,,,U,E,,,P,,46,21.4,,N,T,5,1,1,F,F,F,3.41,,,,,,,,
4/23/2022,7:44,ML,SWRS,BCHU,F,1,1,E,F,U07738,,,NS,,,,,,,U,E,,,P,,46.5,20.7,,N,T,7,L,F,F,F,F,3.46,,,,,,,,
4/23/2022,7:47,ML,SWRS,BCHU,F,1,1,F,G,U07796,,,LS,,,,,,,U,E,,,P,,47,21.2,,N,T,2,L,F,F,F,F,3.5,N,,1,9:12,,,,
4/23/2022,7:50,GS,SWRS,BCHU,F,1,R,,,U06271,1,,NS,,,,,,,U,E,,,P,,44,18.7,,N,0,8,F,F,F,F,F,3.51,,,,,,,,
4/23/2022,7:55,GS,SWRS,RIHU,M,1,1,L,L,M28692,,,GP,99,99,0,,,,,,,,,,71,26.5,,PH,0,,F,F,F,F,L,7.72,,,,,,,,
4/23/2022,7:58,GS,SWRS,BCHU,F,1,1,E,F,U07739,,,NS,,,,,,,U,E,,,P,,46,20.3,,N,0,2,1,1,F,F,F,3.58,,,,,,,,
4/23/2022,8:01,GS,SWRS,BCHU,M,1,1,D,D,U09086,,,V,99,,,,,,,,,,,,41.5,18.7,,YN,0,,F,F,L,F,F,2.87,,,,,,,,
4/23/2022,8:05,GS,SWRS,BCHU,F,1,1,E,F,U07740,,,NS,,,,,,,U,E,,,P,,46,19.9,,N,1,7,1,1,F,F,F,3.75,,,,,,,,
4/23/2022,8:08,GS,SWRS,BCHU,F,1,1,E,F,U07741,,,NS,,,,,,,U,E,,,P,,46,21.1,,N,T,2,F,F,F,F,L,3.02,,,,,,,,
4/23/2022,8:11,GS,SWRS,BCHU,M,1,1,D,D,U09087,,,V,99,,,,,,,,,,,,44,19.3,,N,0,,F,F,F,F,F,3.23,,,2,9:25,10:31,,,
4/23/2022,8:14,GS,SWRS,BCHU,M,1,1,D,D,U09088,,,V,99,,,,,,,,,,,,41,18.9,,N,0,,F,F,L,F,F,2.81,,,,,,,,
4/23/2022,8:17,ML,SWRS,BTMG,M,1,1,J,L,M28693,,,B,99,,,,,,,,,,,,72.5,22.4,,N,0,,L,F,F,F,F,7.3,,,,,,,,
4/23/2022,8:22,ML,SWRS,BBLH,F,1,1,E,F,U07742,,,,,,,,O,,,,,,,,50.5,22.4,,N,T,7,L,F,F,F,L,3.71,,,1,9:33,,,,
4/23/2022,8:27,ML,SWRS,BCHU,M,1,1,D,D,U09089,,,V,99,,,,,,,,,,,,43,19,,N,0,,1,F,F,F,F,2.96,,,,,,,,LICE EGGS ON TAIL FEATHERS
4/23/2022,8:30,ML,SWRS,BCHU,M,1,1,D,D,U09090,,,V,99,,,,,,,,,,,,41,18.2,,N,T,,L,F,F,F,F,2.92,,,,,,,,
4/23/2022,8:33,ML,SWRS,BBLH,F,1,1,F,F,U07743,,,,,,,,,,,,,,,,50.5,20.4,,"PH, WN, GX",T,2,L,F,L,F,L,3.27,,,1,9:31,,,,
4/23/2022,8:37,ML,SWRS,BBLH,M,1,1,E,E,U06241,,,B,99,,,,,,,,,,,,58.5,21.4,,PH,0,,F,F,F,F,L,3.25,,,,,,,,
4/23/2022,8:41,ML,SWRS,BTMG,M,1,1,K,L,M28694,,,B,99,,,,,,,,,,,,74,22.5,,WN,0,,F,F,F,F,M,7.98,,,,,,,,SMALL INJURY ON BREAST
4/23/2022,8:49,ML,SWRS,RUHU,F,1,1,E,E,U06242,,,O,11,,,,,,,40,GB,N,,3,45,16.8,,WN,0,2,F,F,F,F,F,2.87,,,,,,,,
4/23/2022,8:54,ML,SWRS,BCHU,M,1,1,D,D,U07828,,,V,99,,,,,,,,,,,,43,18.9,,N,0,,F,F,F,F,F,2.86,,,1,9:49,,,,
4/23/2022,8:58,ML,SWRS,RIHU,M,1,1,K,L,M28695,,,GP,99,99,,,,,,,,,,,0,25.5,,"WN, GX",0,,F,F,0,F,F,7.6,,,,,,,,SKIPED WING CHORD DUE TO MOLT
4/23/2022,9:02,ML,SWRS,BCHU,M,1,1,D,D,U07829,,,V,99,,,,,,,,,,,,43.5,19.5,,PH,0,,F,F,F,F,F,2.95,,,,,,,,
4/23/2022,9:05,ML,SWRS,BCHU,F,1,R,,,U06190,1,,NS,,,,,,,U,E,,,P,,46,21.3,,N,0,5,F,F,F,F,F,3.34,,,,,,,,
4/23/2022,9:08,ML,SWRS,BCHU,M,1,1,D,D,U07830,,,V,99,,,,,,,,,,,,42.5,18.6,,"YN, GX",0,,F,F,F,F,F,2.63,,,,,,,,
4/23/2022,9:14,ML,SWRS,BCHU,F,1,1,F,F,U07744,,,LS,,,,,,,U,E,,,P,,49,20.1,,N,0,5,1,1,F,F,L,3.82,,,,,,,,SPIDER WEB ON WING
4/23/2022,9:18,ML,SWRS,BADE,,,4,,,M28696,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
4/23/2022,9:22,ML,SWRS,RIHU,M,1,1,J,L,M28697,,,GP,99,90,,,,,,,,,,,71.5,25.5,,PHN,0,,F,F,F,F,F,7.7,,,,,,,,
4/23/2022,9:40,ML,SWRS,BCHU,M,1,1,D,D,U07831,,,V,99,,,,,,,,,,,,41.5,18.1,,PT,T,,F,F,F,F,F,2.72,,,,,,,,
4/23/2022,10:54,ML,SWRS,BCHU,F,1,1,E,F,U07745,,,HS,,,,,,,U,E,,,P,,46.5,20.9,,PH,1,5,F,F,F,F,F,3.5,,,,,,,,SPIDER WEB ON TAIL
4/23/2022,11:02,ML,SWRS,BCHU,F,1,1,F,G,U07797,,,NS,,,,,,,U,E,,,P,,47,20.2,,YUL,T,2,F,F,F,F,F,3.49,,,,,,,,
