"site_name","calendar_date","ndvi"
"AL","2008-09-13",0.5636
"AL","2008-09-29",0.5015
"AL","2008-10-15",0.4643
"AL","2008-10-31",0.3938
"AL","2008-11-16",0.4872
"AL","2008-12-02",0.4265
"AL","2008-12-18",0.1088
"AL","2009-01-01",0.1723
"AL","2009-01-17",0.4092
"AL","2009-02-02",0.4858
"AL","2009-02-18",0.3998
"AL","2009-03-06",0.4628
"AL","2009-03-22",0.4086
"AL","2009-04-07",0.3703
"AL","2009-04-23",0.3873
"AL","2009-05-09",0.3714
"AL","2009-05-25",0.4015
"AL","2009-06-10",0.4153
"AL","2009-06-26",0.4768
"AL","2009-07-12",0.5376
"AL","2009-07-28",0.4385
"AL","2009-08-13",0.4398
"AL","2009-08-29",0.5173
"AL","2009-09-14",0.4581
"AL","2009-09-30",0.4937
"AL","2009-10-16",0.4755
"AL","2009-11-01",0.4248
"AL","2009-11-17",0.4623
"AL","2009-12-03",0.421
"AL","2009-12-19",0.1975
"AL","2010-01-01",0.1384
"AL","2010-01-17",0.0996
"AL","2010-02-02",0.0417
"AL","2010-02-18",0.133
"AL","2010-03-06",0.0767
"AL","2010-03-22",0.2933
"AL","2010-04-07",0.4209
"AL","2010-04-23",0.3891
"AL","2010-05-09",0.3557
"AL","2010-05-25",0.3575
"AL","2010-06-10",0.3591
"AL","2010-06-26",0.3506
"AL","2010-07-12",0.4328
"AL","2010-07-28",0.3535
"AL","2010-08-13",0.5149
"AL","2010-08-29",0.5004
"AL","2010-09-14",0.4791
"AL","2010-09-30",0.4387
"AL","2010-10-16",0.4386
"AL","2010-11-01",0.4015
"AL","2010-11-17",0.4184
"AL","2010-12-03",0.4396
"AL","2010-12-19",0.4128
"AR","2004-01-01",0.1797
"AR","2004-01-17",0.1771
"AR","2004-02-02",0.1719
"AR","2004-02-18",0.1763
"AR","2004-03-05",0.1706
"AR","2004-03-21",0.1904
"AR","2004-04-06",0.2387
"AR","2004-04-22",0.2819
"AR","2004-05-08",0.268
"AR","2004-05-24",0.277
"AR","2004-06-09",0.2638
"AR","2004-06-25",0.2693
"AR","2004-07-11",0.3415
"AR","2004-07-27",0.4974
"AR","2004-08-12",0.5702
"AR","2004-08-28",0.3936
"AR","2004-09-13",0.339
"AR","2004-09-29",0.281
"AR","2004-10-15",0.2624
"AR","2004-10-31",0.228
"AR","2004-11-16",0.2212
"AR","2004-12-02",0.1772
"AR","2004-12-18",0.1602
"AR","2005-01-01",0.1516
"AR","2005-01-17",0.1919
"AR","2005-02-02",0.2123
"AR","2005-02-18",0.216
"AR","2005-03-06",0.3204
"AR","2005-03-22",0.2572
"AR","2005-04-07",0.2135
"AR","2005-04-23",0.2542
"AR","2005-05-09",0.2471
"AR","2005-05-25",0.2833
"AR","2005-06-10",0.2808
"AR","2005-06-26",0.2519
"AR","2005-07-12",0.2812
"AR","2005-07-28",0.3551
"AR","2005-08-13",0.4852
"AR","2005-08-29",0.4578
"AR","2005-09-14",0.3561
"AR","2005-09-30",0.3216
"AR","2005-10-16",0.2883
"AR","2005-11-01",0.2437
"AR","2005-11-17",0.2528
"AR","2005-12-03",0.2225
"AR","2005-12-19",0.2158
"AR","2006-01-01",0.2031
"AR","2006-01-17",0.1906
"AR","2006-02-02",0.1911
"AR","2006-02-18",0.1921
"AR","2006-03-06",0.1934
"AR","2006-03-22",0.1802
"AR","2006-04-07",0.1765
"AR","2006-04-23",0.2011
"AR","2006-05-09",0.2601
"AR","2006-05-25",0.2
"AR","2006-06-10",0.1953
"AR","2006-06-26",0.246
"AR","2006-07-12",0.2527
"AR","2006-07-28",0.4483
"AR","2006-08-13",0.5137
"AR","2006-08-29",0.4898
"AR","2006-09-14",0.4446
"AR","2006-09-30",0.3539
"AR","2006-10-16",0.3131
"AR","2006-11-01",0.2327
"AR","2006-11-17",0.2273
"AR","2006-12-03",0.2166
"AR","2006-12-19",0.2012
"AV","2002-01-01",0.3114
"AV","2002-01-17",0.3614
"AV","2002-02-02",0.2682
"AV","2002-02-18",0.2956
"AV","2002-03-06",0.2645
"AV","2002-03-22",0.2696
"AV","2002-04-07",0.2932
"AV","2002-04-23",0.4798
"AV","2002-05-09",0.4008
"AV","2002-05-25",0.3246
"AV","2002-06-10",0.4684
"AV","2002-06-26",0.2152
"AV","2002-07-12",0.5013
"AV","2002-07-28",0.39
"AV","2002-08-13",0.5848
"AV","2002-08-29",0.2691
"AV","2002-09-14",0.3975
"AV","2002-09-30",0.4341
"AV","2002-10-16",0.5171
"AV","2002-11-01",0.3665
"AV","2002-11-17",0.3801
"AV","2002-12-03",0.35
"AV","2002-12-19",0.3415
"AV","2003-01-01",0.3801
"AV","2003-01-17",0.3121
"AV","2003-02-02",0.3147
"AV","2003-02-18",0.3367
"AV","2003-03-06",0.3839
"AV","2003-03-22",0.3429
"AV","2003-04-07",0.4632
"AV","2003-04-23",0.4595
"AV","2003-05-09",0.5196
"AV","2003-05-25",0.3871
"AV","2003-06-10",0.5759
"AV","2003-06-26",0.2927
"AV","2003-07-12",0.3774
"AV","2003-07-28",0.4921
"AV","2003-08-13",0.6682
"AV","2003-08-29",0.5218
"AV","2003-09-14",0.4264
"AV","2003-09-30",0.3891
"AV","2003-10-16",0.4485
"AV","2003-11-01",0.4265
"AV","2003-11-17",0.3092
"AV","2003-12-03",0.2993
"AV","2003-12-19",0.3064
"AV","2004-01-01",0.3181
"AV","2004-01-17",0.3403
"AV","2004-02-02",0.3559
"AV","2004-02-18",0.3303
"AV","2004-03-05",0.3375
"AV","2004-03-21",0.3863
"AV","2004-04-06",0.5756
"AV","2004-04-22",0.3557
"AV","2004-05-08",0.5535
"AV","2004-05-24",0.5712
"AV","2004-06-09",0.4235
"AV","2004-06-25",0.527
"AV","2004-07-11",0.4085
"AV","2004-07-27",0.4367
"AV","2004-08-12",0.4706
"AV","2004-08-28",0.2999
"AV","2004-09-13",0.6032
"AV","2004-09-29",0.6175
"AV","2004-10-15",0.5514
"AV","2004-10-31",0.3425
"AV","2004-11-16",0.4447
"AV","2004-12-02",0.3383
"AV","2004-12-18",0.3117
"AV","2005-01-01",0.3375
"AV","2005-01-17",0.3478
"AV","2005-02-02",0.3599
"AV","2005-02-18",0.3813
"AV","2005-03-06",0.4021
"AV","2005-03-22",0.3875
"AV","2005-04-07",0.3716
"AV","2005-04-23",0.4152
"AV","2005-05-09",0.5403
"AV","2005-05-25",0.5657
"AV","2005-06-10",0.5208
"AV","2005-06-26",0.4519
"AV","2005-07-12",0.4387
"AV","2005-07-28",0.2737
"AV","2005-08-13",0.5491
"AV","2005-08-29",0.4108
"AV","2005-09-14",0.4123
"AV","2005-09-30",0.4951
"AV","2005-10-16",0.4995
"AV","2005-11-01",0.3567
"AV","2005-11-17",0.339
"AV","2005-12-03",0.3613
"AV","2005-12-19",0.3456
"AV","2006-01-01",0.326
"AV","2006-01-17",0.3011
"AV","2006-02-02",0.2929
"AV","2006-02-18",0.2805
"AV","2006-03-06",0.2784
"AV","2006-03-22",0.2765
"AV","2006-04-07",0.421
"AV","2006-04-23",0.5353
"AV","2006-05-09",0.3689
"AV","2006-05-25",0.2565
"AV","2006-06-10",0.5
"AV","2006-06-26",0.4098
"AV","2006-07-12",0.5767
"AV","2006-07-28",0.3761
"AV","2006-08-13",0.4566
"AV","2006-08-29",0.4686
"AV","2006-09-14",0.5017
"AV","2006-09-30",0.3989
"AV","2006-10-16",0.5019
"AV","2006-11-01",0.3941
"AV","2006-11-17",0.3366
"AV","2006-12-03",0.3154
"AV","2006-12-19",0.3092
"BM","2002-01-01",0.1728
"BM","2002-01-17",0.1921
"BM","2002-02-02",0.1511
"BM","2002-02-18",0.1598
"BM","2002-03-06",0.1758
"BM","2002-03-22",0.148
"BM","2002-04-07",0.1451
"BM","2002-04-23",0.1375
"BM","2002-05-09",0.1383
"BM","2002-05-25",0.1343
"BM","2002-06-10",0.1894
"BM","2002-06-26",0.1387
"BM","2002-07-12",0.1673
"BM","2002-07-28",0.1422
"BM","2002-08-13",0.1438
"BM","2002-08-29",0.1533
"BM","2002-09-14",0.1601
"BM","2002-09-30",0.1407
"BM","2002-10-16",0.166
"BM","2002-11-01",0.163
"BM","2002-11-17",0.2056
"BM","2002-12-03",0.1503
"BM","2002-12-19",0.1676
"BM","2003-01-01",0.1676
"BM","2003-01-17",0.1499
"BM","2003-02-02",0.1635
"BM","2003-02-18",0.1782
"BM","2003-03-06",0.1954
"BM","2003-03-22",0.2768
"BM","2003-04-07",0.2465
"BM","2003-04-23",0.2081
"BM","2003-05-09",0.1852
"BM","2003-05-25",0.1666
"BM","2003-06-10",0.1599
"BM","2003-06-26",0.1891
"BM","2003-07-12",0.1655
"BM","2003-07-28",0.2382
"BM","2003-08-13",0.1633
"BM","2003-08-29",0.2294
"BM","2003-09-14",0.2327
"BM","2003-09-30",0.1577
"BM","2003-10-16",0.1571
"BM","2003-11-01",0.1681
"BM","2003-11-17",0.1499
"BM","2003-12-03",0.1498
"BM","2003-12-19",0.2086
"BM","2004-01-01",0.2107
"BM","2004-01-17",0.2232
"BM","2004-02-02",0.2604
"BM","2004-02-18",0.2575
"BM","2004-03-05",0.3278
"BM","2004-03-21",0.2687
"BM","2004-04-06",0.2311
"BM","2004-04-22",0.2002
"BM","2004-05-08",0.1837
"BM","2004-05-24",0.1805
"BM","2004-06-09",0.1684
"BM","2004-06-25",0.1502
"BM","2004-07-11",0.1924
"BM","2004-07-27",0.1544
"BM","2004-08-12",0.1686
"BM","2004-08-28",0.1843
"BM","2004-09-13",0.2125
"BM","2004-09-29",0.167
"BM","2004-10-15",0.2452
"BM","2004-10-31",0.1869
"BM","2004-11-16",0.1823
"BM","2004-12-02",0.2387
"BM","2004-12-18",0.2694
"BM","2005-01-01",0.298
"BM","2005-01-17",0.3122
"BM","2005-02-02",0.3489
"BM","2005-02-18",0.3739
"BM","2005-03-06",0.387
"BM","2005-03-22",0.3448
"BM","2005-04-07",0.2626
"BM","2005-04-23",0.2437
"BM","2005-05-09",0.2229
"BM","2005-05-25",0.2181
"BM","2005-06-10",0.2309
"BM","2005-06-26",0.1768
"BM","2005-07-12",0.1739
"BM","2005-07-28",0.1889
"BM","2005-08-13",0.1652
"BM","2005-08-29",0.1987
"BM","2005-09-14",0.2516
"BM","2005-09-30",0.1394
"BM","2005-10-16",0.1485
"BM","2005-11-01",0.1872
"BM","2005-11-17",0.1755
"BM","2005-12-03",0.1938
"BM","2005-12-19",0.2459
"BM","2006-01-01",0.2133
"BM","2006-01-17",0.2532
"BM","2006-02-02",0.2445
"BM","2006-02-18",0.229
"BM","2006-03-06",0.2453
"BM","2006-03-22",0.2881
"BM","2006-04-07",0.311
"BM","2006-04-23",0.2241
"BM","2006-05-09",0.1806
"BM","2006-05-25",0.1866
"BM","2006-06-10",0.199
"BM","2006-06-26",0.1728
"BM","2006-07-12",0.2057
"BM","2006-07-28",0.1942
"BM","2006-08-13",0.1624
"BM","2006-08-29",0.1724
"BM","2006-09-14",0.1722
"BM","2006-09-30",0.1852
"BM","2006-10-16",0.1747
"BM","2006-11-01",0.1742
"BM","2006-11-17",0.183
"BM","2006-12-03",0.1878
"BM","2006-12-19",0.1711
"BM","2007-01-01",0.1441
"BM","2007-01-17",0.1566
"BM","2007-02-02",0.1573
"BM","2007-02-18",0.1461
"BM","2007-03-06",0.1568
"BM","2007-03-22",0.1362
"BM","2007-04-07",0.1311
"BM","2007-04-23",0.122
"BM","2007-05-09",0.1407
"BM","2007-05-25",0.1305
"BM","2007-06-10",0.1464
"BM","2007-06-26",0.1502
"BM","2007-07-12",0.1354
"BM","2007-07-28",0.1525
"BM","2007-08-13",0.1621
"BM","2007-08-29",0.1795
"BM","2007-09-14",0.1426
"BM","2007-09-30",0.1617
"BM","2007-10-16",0.1494
"BM","2007-11-01",0.1485
"BM","2007-11-17",0.195
"BM","2007-12-03",0.1386
"BM","2007-12-19",0.1478
"BM","2008-01-01",0.1687
"BM","2008-01-17",0.2212
"BM","2008-02-02",0.2489
"BM","2008-02-18",0.2853
"BM","2008-03-05",0.3031
"BM","2008-03-21",0.287
"BM","2008-04-06",0.2249
"BM","2008-04-22",0.2069
"BM","2008-05-08",0.1899
"BM","2008-05-24",0.2153
"BM","2008-06-09",0.1998
"BM","2008-06-25",0.1827
"BM","2008-07-11",0.2037
"BM","2008-07-27",0.2025
"BM","2008-08-12",0.1869
"BM","2008-08-28",0.1867
"BM","2008-09-13",0.1995
"BM","2008-09-29",0.1863
"BM","2008-10-15",0.2004
"BM","2008-10-31",0.2046
"BM","2008-11-16",0.2093
"BM","2008-12-02",0.2516
"BM","2008-12-18",0.1606
"BM","2009-01-01",0.2
"BM","2009-01-17",0.2
"BM","2009-02-02",0.2253
"BM","2009-02-18",0.2719
"BM","2009-03-06",0.3229
"BM","2009-03-22",0.2545
"BM","2009-04-07",0.2299
"BM","2009-04-23",0.1941
"BM","2009-05-09",0.1886
"BM","2009-05-25",0.1908
"BM","2009-06-10",0.1772
"BM","2009-06-26",0.1899
"BM","2009-07-12",0.1837
"BM","2009-07-28",0.1868
"BM","2009-08-13",0.1902
"BM","2009-08-29",0.1906
"BM","2009-09-14",0.2253
"BM","2009-09-30",0.1739
"BM","2009-10-16",0.1768
"BM","2009-11-01",0.271
"BM","2009-11-17",0.1887
"BM","2009-12-03",0.1823
"BM","2009-12-19",0.1859
"BM","2010-01-01",0.2127
"BM","2010-01-17",0.1945
"BM","2010-02-02",0.2022
"BM","2010-02-18",0.2409
"BM","2010-03-06",0.2779
"BM","2010-03-22",0.2594
"BM","2010-04-07",0.2331
"BM","2010-04-23",0.2036
"BM","2010-05-09",0.2308
"BM","2010-05-25",0.1857
"BM","2010-06-10",0.181
"BM","2010-06-26",0.2178
"BM","2010-07-12",0.2186
"BM","2010-07-28",0.1847
"BM","2010-08-13",0.1825
"BM","2010-08-29",0.1883
"BM","2010-09-14",0.181
"BM","2010-09-30",0.183
"BM","2010-10-16",0.2046
"BM","2010-11-01",0.2088
"BM","2010-11-17",0.1903
"BM","2010-12-03",0.2148
"BM","2010-12-19",0.1799
"BRCA","2010-01-01",0.1136
"BRCA","2010-01-17",0.0621
"BRCA","2010-02-02",0.0809
"BRCA","2010-02-18",0.0519
"BRCA","2010-03-06",0.0441
"BRCA","2010-03-22",0.0585
"BRCA","2010-04-07",0.0388
"BRCA","2010-04-23",0.2709
"BRCA","2010-05-09",0.304
"BRCA","2010-05-25",0.2869
"BRCA","2010-06-10",0.3057
"BRCA","2010-06-26",0.3681
"BRCA","2010-07-12",0.3703
"BRCA","2010-07-28",0.298
"BRCA","2010-08-13",0.3387
"BRCA","2010-08-29",0.3176
"BRCA","2010-09-14",0.3091
"BRCA","2010-09-30",0.3735
"BRCA","2010-10-16",0.4073
"BRCA","2010-11-01",0.3842
"BRCA","2010-11-17",0.3968
"BRCA","2010-12-03",0.1956
"BRCA","2010-12-19",0.0752
"BRCA","2011-01-01",0.1139
"BRCA","2011-01-17",0.1366
"BRCA","2011-02-02",0.1153
"BRCA","2011-02-18",0.0824
"BRCA","2011-03-06",0.0558
"BRCA","2011-03-22",0.2763
"BRCA","2011-04-07",0.2789
"BRCA","2011-04-23",0.3384
"BRCA","2011-05-09",0.2995
"BRCA","2011-05-25",0.2899
"BRCA","2011-06-10",0.2892
"BRCA","2011-06-26",0.2645
"BRCA","2011-07-12",0.3367
"BRCA","2011-07-28",0.3521
"BRCA","2011-08-13",0.3197
"BRCA","2011-08-29",0.3556
"BRCA","2011-09-14",0.3777
"BRCA","2011-09-30",0.3015
"BRCA","2011-10-16",0.3646
"BRCA","2011-11-01",0.3345
"BRCA","2011-11-17",0.3747
"BRCA","2011-12-03",0.0872
"BRCA","2011-12-19",0.1013
"BRCA","2012-01-01",0.1195
"BRCA","2012-01-17",0.0902
"BRCA","2012-02-02",0.091
"BRCA","2012-02-18",0.0819
"BRCA","2012-03-05",0.0915
"BRCA","2012-03-21",0.3267
"BRCA","2012-04-06",0.3101
"BRCA","2012-04-22",0.3221
"BRCA","2012-05-08",0.3172
"BRCA","2012-05-24",0.3085
"BRCA","2012-06-09",0.296
"BRCA","2012-06-25",0.2795
"BRCA","2012-07-11",0.3171
"BRCA","2012-07-27",0.3416
"BRCA","2012-08-12",0.3519
"BRCA","2012-08-28",0.3234
"BRCA","2012-09-13",0.2939
"BRCA","2012-09-29",0.3454
"BRCA","2012-10-15",0.3443
"BRCA","2012-10-31",0.3638
"BRCA","2012-11-16",0.4042
"BRCA","2012-12-02",0.4813
"BRCA","2012-12-18",0.1166
"BRCA","2013-01-01",0.0829
"BRCA","2013-01-17",0.0928
"BRCA","2013-02-02",0.0774
"BRCA","2013-02-18",0.1172
"BRCA","2013-03-06",0.0558
"BRCA","2013-03-22",0.2679
"BRCA","2013-04-07",0.2541
"BRCA","2013-04-23",0.3047
"BRCA","2013-05-09",0.3094
"BRCA","2013-05-25",0.3065
"BRCA","2013-06-10",0.3157
"BRCA","2013-06-26",0.28
"BRCA","2013-07-12",0.3498
"BRCA","2013-07-28",0.3073
"BRCA","2013-08-13",0.3318
"BRCA","2013-08-29",0.3203
"BRCA","2013-09-14",0.3573
"BRCA","2013-09-30",0.3284
"BRCA","2013-10-16",0.3556
"BRCA","2013-11-01",0.399
"BRCA","2013-11-17",0.3834
"BRCA","2013-12-03",0.0737
"BRCA","2013-12-19",0.077
"CFCK","2010-01-01",0.1089
"CFCK","2010-01-17",0.0235
"CFCK","2010-02-02",0.0259
"CFCK","2010-02-18",0.11
"CFCK","2010-03-06",0.1568
"CFCK","2010-03-22",0.1678
"CFCK","2010-04-07",0.1646
"CFCK","2010-04-23",0.2
"CFCK","2010-05-09",0.2086
"CFCK","2010-05-25",0.2302
"CFCK","2010-06-10",0.2359
"CFCK","2010-06-26",0.2313
"CFCK","2010-07-12",0.2477
"CFCK","2010-07-28",0.192
"CFCK","2010-08-13",0.2212
"CFCK","2010-08-29",0.206
"CFCK","2010-09-14",0.2288
"CFCK","2010-09-30",0.2069
"CFCK","2010-10-16",0.1953
"CFCK","2010-11-01",0.1923
"CFCK","2010-11-17",0.1847
"CFCK","2010-12-03",0.1895
"CFCK","2010-12-19",0.2293
"CFCK","2011-01-01",0.071
"CFCK","2011-01-17",0.1954
"CFCK","2011-02-02",0.1795
"CFCK","2011-02-18",0.1688
"CFCK","2011-03-06",0.1635
"CFCK","2011-03-22",0.1693
"CFCK","2011-04-07",0.1664
"CFCK","2011-04-23",0.1843
"CFCK","2011-05-09",0.2061
"CFCK","2011-05-25",0.2395
"CFCK","2011-06-10",0.2006
"CFCK","2011-06-26",0.2465
"CFCK","2011-07-12",0.2576
"CFCK","2011-07-28",0.245
"CFCK","2011-08-13",0.2446
"CFCK","2011-08-29",0.2696
"CFCK","2011-09-14",0.2138
"CFCK","2011-09-30",0.2493
"CFCK","2011-10-16",0.2203
"CFCK","2011-11-01",0.2188
"CFCK","2011-11-17",0.1725
"CFCK","2011-12-03",0.1692
"CFCK","2011-12-19",0.0488
"CFCK","2012-01-01",0.1684
"CFCK","2012-01-17",0.1478
"CFCK","2012-02-02",0.1798
"CFCK","2012-02-18",0.1887
"CFCK","2012-03-05",0.1756
"CFCK","2012-03-21",0.1753
"CFCK","2012-04-06",0.1751
"CFCK","2012-04-22",0.1922
"CFCK","2012-05-08",0.2105
"CFCK","2012-05-24",0.2283
"CFCK","2012-06-09",0.2208
"CFCK","2012-06-25",0.2431
"CFCK","2012-07-11",0.2054
"CFCK","2012-07-27",0.2059
"CFCK","2012-08-12",0.2365
"CFCK","2012-08-28",0.1827
"CFCK","2012-09-13",0.2078
"CFCK","2012-09-29",0.2541
"CFCK","2012-10-15",0.2329
"CFCK","2012-10-31",0.2043
"CFCK","2012-11-16",0.1601
"CFCK","2012-12-02",0.1931
"CFCK","2012-12-18",0.2487
"CFCK","2013-01-01",0.2487
"CFCK","2013-01-17",0.1615
"CFCK","2013-02-02",0.1825
"CFCK","2013-02-18",0.1781
"CFCK","2013-03-06",0.1702
"CFCK","2013-03-22",0.1628
"CFCK","2013-04-07",0.1718
"CFCK","2013-04-23",0.2007
"CFCK","2013-05-09",0.2271
"CFCK","2013-05-25",0.2237
"CFCK","2013-06-10",0.2426
"CFCK","2013-06-26",0.2187
"CFCK","2013-07-12",0.1931
"CFCK","2013-07-28",0.2424
"CFCK","2013-08-13",0.2143
"CFCK","2013-08-29",0.2365
"CFCK","2013-09-14",0.2221
"CFCK","2013-09-30",0.2129
"CFCK","2013-10-16",0.2057
"CFCK","2013-11-01",0.2178
"CFCK","2013-11-17",0.1897
"CFCK","2013-12-03",0.2548
"CFCK","2013-12-19",0.1964
"CFCK","2014-01-01",0.1982
"CFCK","2014-01-17",0.1887
"CFCK","2014-02-02",0.1743
"CFCK","2014-02-18",0.194
"CFCK","2014-03-06",0.1756
"CFCK","2014-03-22",0.1739
"CFCK","2014-04-07",0.1907
"CFCK","2014-04-23",0.2235
"CFCK","2014-05-09",0.2215
"CFCK","2014-05-25",0.2447
"CFCK","2014-06-10",0.2366
"CFCK","2014-06-26",0.228
"CFCK","2014-07-12",0.21
"CFCK","2014-07-28",0.2176
"CFCK","2014-08-13",0.2369
"CFCK","2014-08-29",0.2338
"CFCK","2014-09-14",0.2427
"CFCK","2014-09-30",0.2463
"CFCK","2014-10-16",0.214
"CFCK","2014-11-01",0.1879
"CFCK","2014-11-17",0.1758
"CFCK","2014-12-03",0.1657
"CFCK","2014-12-19",0.1847
"CFCK","2015-01-01",0.228
"CFCK","2015-01-17",0.2119
"CFCK","2015-02-02",0.1638
"CFCK","2015-02-18",0.1732
"CFCK","2015-03-06",0.174
"CFCK","2015-03-22",0.182
"CFCK","2015-04-07",0.1933
"CFCK","2015-04-23",0.1775
"CFCK","2015-05-09",0.2328
"CFCK","2015-05-25",0.2215
"CFCK","2015-06-10",0.1948
"CFCK","2015-06-26",0.2356
"CFCK","2015-07-12",0.253
"CFCK","2015-07-28",0.2414
"CFCK","2015-08-13",0.2401
"CFCK","2015-08-29",0.2294
"CFCK","2015-09-14",0.2288
"CFCK","2015-09-30",0.2237
"CFCK","2015-10-16",0.2199
"CFCK","2015-11-01",0.2179
"CFCK","2015-11-17",0.1821
"CFCK","2015-12-03",0.1942
"CFCK","2015-12-19",0.2281
"CFCK","2016-01-01",0.2281
"CFCK","2016-01-17",0.192
"CFCK","2016-02-02",0.0842
"CFCK","2016-02-18",0.1723
"CFCK","2016-03-05",0.1796
"CFCK","2016-03-21",0.1813
"CFCK","2016-04-06",0.1872
"CFCK","2016-04-22",0.2151
"CFCK","2016-05-08",0.2475
"CFCK","2016-05-24",0.261
"CFCK","2016-06-09",0.2448
"CFCK","2016-06-25",0.2562
"CFCK","2016-07-11",0.247
"CFCK","2016-07-27",0.2193
"CFCK","2016-08-12",0.2053
"CFCK","2016-08-28",0.2543
"CFCK","2016-09-13",0.2497
"CFCK","2016-09-29",0.2056
"CFCK","2016-10-15",0.2102
"CFCK","2016-10-31",0.217
"CFCK","2016-11-16",0.181
"CFCK","2016-12-02",0.2021
"CFCK","2016-12-18",0.1831
"CFCK","2017-01-01",0.2323
"CFCK","2017-01-17",0.1993
"CFCK","2017-02-02",0.2003
"CFCK","2017-02-18",0.1798
"CFCK","2017-03-06",0.1837
"CFCK","2017-03-22",0.216
"CFCK","2017-04-07",0.1985
"CFCK","2017-04-23",0.2272
"CFCK","2017-05-09",0.2055
"CFCK","2017-05-25",0.2692
"CFCK","2017-06-10",0.2331
"CFCK","2017-06-26",0.2419
"CFCK","2017-07-12",0.2463
"CFCK","2017-07-28",0.2522
"CFCK","2017-08-13",0.2628
"CFCK","2017-08-29",0.2431
"CFCK","2017-09-14",0.2455
"CFCK","2017-09-30",0.2245
"CFCK","2017-10-16",0.1986
"CFCK","2017-11-01",0.1961
"CFCK","2017-11-17",0.2109
"CFCK","2017-12-03",0.2021
"CFCK","2017-12-19",0.2
"CFCK","2018-01-01",0.1966
"CFCK","2018-01-17",0.1895
"CFCK","2018-02-02",0.1882
"CFCK","2018-02-18",0.1973
"CFCK","2018-03-06",0.1781
"CFCK","2018-03-22",0.174
"CFCK","2018-04-07",0.1872
"CFCK","2018-04-23",0.1787
"CFCK","2018-05-09",0.1994
"CFCK","2018-05-25",0.2329
"CFCK","2018-06-10",0.2425
"CFCK","2018-06-26",0.1825
"CFCK","2018-07-12",0.2168
"CFCK","2018-07-28",0.2017
"CFCK","2018-08-13",0.2385
"CFCK","2018-08-29",0.2221
"CFCK","2018-09-14",0.2099
"CFCK","2018-09-30",0.2099
"CFCK","2018-10-16",0.2095
"CFCK","2018-11-01",0.1913
"CFCK","2018-11-17",0.1841
"CFCK","2018-12-03",0.1899
"CFCK","2018-12-19",0.1814
"CFCK","2019-01-01",0.2015
"CFCK","2019-01-17",0.1987
"CFCK","2019-02-02",0.2087
"CFCK","2019-02-18",0.0305
"CFCK","2019-03-06",0.1949
"CFCK","2019-03-22",0.1689
"CFCK","2019-04-07",0.1958
"CFCK","2019-04-23",0.2146
"CFCK","2019-05-09",0.2309
"CFCK","2019-05-25",0.241
"CFCK","2019-06-10",0.2619
"CFCK","2019-06-26",0.2609
"CFCK","2019-07-12",0.25
"CFCK","2019-07-28",0.2111
"CFCK","2019-08-13",0.2562
"CFCK","2019-08-29",0.2704
"CFCK","2019-09-14",0.2416
"CFCK","2019-09-30",0.2619
"CFCK","2019-10-16",0.214
"CFCK","2019-11-01",0.1924
"CFCK","2019-11-17",0.2504
"CFCK","2019-12-03",0.2345
"CFCK","2019-12-19",0.1648
"CFCK","2020-01-01",0.0978
"CFCK","2020-01-17",0.2404
"CFCK","2020-02-02",0.1889
"CFCK","2020-02-18",0.1941
"CFCK","2020-03-05",0.1959
"CFCK","2020-03-21",0.1729
"CFCK","2020-04-06",0.19
"CFCK","2020-04-22",0.2366
