Location_code,Sites,State,Region,Num of years,First.active.year,Last.active.year,Skipped.years,LatDD,LongDD,Elevation (m)
RR,BLM Red Rock Visitor Center,NV,MID,6,2012,2017,,36.1358333333333,-115.427472222222,1149
SC,"Sabino Canyon, Catalina Mountains",AZ,SOUTH,10,2006,2015,,32.31316667,-110.8118333,825
SCSNA,Sonoita Creek State Natural Area,AZ,SOUTH,6,2009,2014,,31.48797222,-110.8786111,1118
SP,Saanich Peninsula -Finleys,BC,NORTH,7,2002,2008,,48.48333333,-123.4333333,61
SV,Scott's Valley. Coast Range,CA,MID,5,2007,2011,,37.36666667,-121.8333333,348
SWRS,"SWRS Southwest Research Station, Chiricahua Mountains",AZ,SOUTH,14,2006,2019,,31.88322222,-109.2052778,1638
TU,Tumacacori National Historic Park,AZ,SOUTH,5,2003,2007,,31.56777778,-111.0500278,994
VN,Above Vernon-Boyd,BC,NORTH,4,2005,2008,,50.18333333,-119.0666667,1067
WCAT,Wildcat Guard Station/Visitor Center,UT,MID,7,2014,2020,,38.1083333333333,-111.341666666666,2624
WM,Wigeon Marsh,BC,NORTH,16,2005,2020,,49.03333333,-122.65,21
WR,"San Jacinto Mountains, Wagner's",CA,SOUTH,6,2002,2007,,33.58333333,-116.6,1405
