"Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Removed.band.num","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wng.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color.Location","Fat","CP.Breed","Head.Gorget.Molt","Body.Molt","Primaries.Molt","Secondaries.Molt","Tail.Molt","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"9:09","1","1","U09801",NA,"E","E","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","19.4",NA,"PH","2",NA,"F","F","F","F","F","3.1",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"9:24","R","R","U05524","1",NA,NA,"BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,"4X3","P","5","47","20.4",NA,"N","2","5","L","F","F","F","F","3.9",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"9:41","R","R","U05574","1",NA,NA,"BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","19.3",NA,"YHU, PHU","2",NA,"F","F","F","F","F","2.9",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"9:49","R","R","U08621","1",NA,NA,"BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","19.2",NA,"PH","1",NA,"F","F","F","F","F","2.9",NA,NA,"1","9:58",NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"9:58","1","1","U09759",NA,"E","F","BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,"5X4","P","5","47","21.2",NA,"PH, YH","1","2","F","F","F","F","F","3.6",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"10:13","R","R","M69527","1",NA,NA,"BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","19.5",NA,"PH, YU","1",NA,"F","F","F","F","F","3.1",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"10:18","R","R","M69504","1",NA,NA,"BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,"4X2","P","5","46","20.9",NA,"PH","2","8","F","F","F","F","F","4.3",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"10:56","R","R","U05673","1",NA,NA,"BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","19.9",NA,"PH","2",NA,"F","F","F","F","F","3.1",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"10:59","R","R","K39781","1",NA,NA,"BCHU","F","1",NA,"MS",NA,NA,NA,NA,NA,NA,"U","E",NA,"6X5","P","6","47","22.2",NA,"PH","1","5","F","F","F","F","F","3.8",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"11:06","R","R","U08167","1",NA,NA,"BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","20.1",NA,"N","1",NA,"F","F","F","F","F","3.2",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"12:06","R","R","U09783","1",NA,NA,"BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","19.2",NA,"PH","1",NA,"F","F","F","F","F","3.1",NA,NA,NA,NA,NA,NA,NA,NA
